               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11695,            0.028606,            0.032989,           0.0033974,             0.83333,            0.026236,           0.0063386,             0.12772,            0.017413,            0.034469,              0.0991,              0.0001,              0.0001
                   1,             0.11307,            0.029429,            0.033695,           0.0027747,             0.66667,            0.018455,           0.0038286,             0.12653,            0.017471,            0.034229,            0.097299,          0.00029901,          0.00029901
                   2,             0.11662,              0.0286,            0.030483,           0.0034118,             0.83333,           0.0078989,            0.002099,              0.1241,            0.017753,            0.033812,            0.095497,           0.0004967,           0.0004967
                   3,             0.11163,            0.028638,            0.030618,           0.0034307,             0.83333,           0.0084363,           0.0021423,             0.12039,            0.018193,            0.033234,            0.093693,          0.00069307,          0.00069307
                   4,             0.11534,            0.025606,            0.028593,           0.0034513,             0.83333,           0.0091094,            0.001924,             0.11478,            0.018979,            0.032534,            0.091888,          0.00088812,          0.00088812
                   5,             0.10648,            0.033272,            0.029583,           0.0034612,             0.83333,            0.010292,           0.0022624,             0.10712,            0.020161,            0.031926,            0.090082,           0.0010819,           0.0010819
                   6,              0.1056,            0.031945,            0.029762,           0.0034552,             0.83333,            0.011022,           0.0030314,              0.0986,            0.021424,            0.031436,            0.088274,           0.0012743,           0.0012743
                   7,            0.092394,            0.030551,            0.031525,           0.0034455,             0.83333,            0.014052,           0.0041822,             0.08825,            0.022948,            0.030929,            0.086465,           0.0014653,           0.0014653
                   8,             0.09441,            0.030941,            0.030016,           0.0034693,             0.83333,             0.01464,           0.0048772,            0.083209,            0.023647,            0.030771,            0.084655,           0.0016551,           0.0016551
                   9,            0.094709,            0.035578,            0.029052,           0.0034592,             0.83333,            0.016227,           0.0063284,            0.080868,            0.023884,             0.03035,            0.082844,           0.0018436,           0.0018436
                  10,            0.094264,            0.038107,            0.029603,           0.0034756,             0.83333,            0.017417,           0.0077298,            0.079044,            0.023957,            0.030054,            0.081031,           0.0020307,           0.0020307
                  11,            0.093035,            0.038478,            0.029088,           0.0034907,             0.83333,            0.020008,           0.0079052,            0.077014,            0.024133,             0.02961,            0.079217,           0.0022165,           0.0022165
                  12,            0.080924,            0.034343,            0.027955,           0.0034885,             0.83333,            0.022463,           0.0096305,            0.075542,            0.024102,            0.029232,            0.077401,            0.002401,            0.002401
                  13,            0.087728,            0.037621,            0.028372,           0.0034974,             0.83333,            0.026303,            0.011126,            0.075345,            0.023806,            0.029056,            0.075584,           0.0025842,           0.0025842
                  14,            0.082806,            0.048452,             0.02726,           0.0034714,             0.83333,            0.049845,            0.018591,             0.07352,            0.023752,            0.028942,            0.073766,            0.002766,            0.002766
                  15,            0.084633,            0.038239,            0.027623,           0.0033899,             0.83333,            0.044361,            0.016436,             0.07191,            0.024009,            0.028517,            0.071947,           0.0029465,           0.0029465
                  16,            0.079735,            0.048975,            0.027499,            0.003482,             0.83333,            0.077054,            0.024138,             0.07008,            0.023694,            0.028952,            0.070126,           0.0031258,           0.0031258
                  17,            0.083135,            0.040505,            0.026189,           0.0040754,                   1,            0.074791,            0.023025,            0.068874,            0.023557,            0.029045,            0.068304,           0.0033037,           0.0033037
                  18,            0.069551,            0.035302,             0.02719,           0.0040303,                   1,             0.14173,            0.035464,             0.06876,            0.023324,            0.028917,             0.06648,           0.0034802,           0.0034802
                  19,            0.073828,            0.038699,            0.028292,            0.015263,             0.83333,             0.23762,            0.051032,            0.070528,            0.022759,            0.028855,            0.064655,           0.0036555,           0.0036555
                  20,            0.070757,            0.040806,            0.026487,            0.004006,                   1,              0.1347,            0.047068,            0.069111,            0.022766,            0.028738,            0.062829,           0.0038294,           0.0038294
                  21,            0.063305,            0.041113,             0.02699,            0.057353,                 0.5,             0.26821,            0.065835,            0.065689,            0.023049,            0.028518,            0.061002,            0.004002,            0.004002
                  22,            0.072426,            0.053884,            0.026539,             0.12552,                 0.5,             0.32589,            0.099644,            0.064803,            0.022877,            0.028251,            0.059173,           0.0041733,           0.0041733
                  23,            0.063103,            0.038768,             0.02531,              0.1596,             0.66667,             0.37167,             0.14124,            0.060538,            0.023327,            0.027598,            0.057343,           0.0043433,           0.0043433
                  24,            0.060511,            0.042955,            0.024234,             0.13311,             0.66667,             0.24425,            0.074461,            0.059293,            0.023588,            0.027377,            0.055512,           0.0045119,           0.0045119
                  25,            0.071539,            0.031581,            0.023799,             0.25973,             0.66511,             0.33098,              0.1325,            0.060678,            0.023091,            0.027059,            0.053679,           0.0046793,           0.0046793
                  26,            0.062395,            0.044493,            0.026197,              0.2589,             0.66667,             0.35123,             0.16023,            0.059538,            0.022937,            0.026946,            0.051845,           0.0048453,           0.0048453
                  27,            0.062178,            0.039939,            0.027223,              0.2589,             0.66667,             0.35123,             0.16023,            0.059538,            0.022937,            0.026946,             0.05001,             0.00501,             0.00501
                  28,            0.053208,            0.037231,            0.024087,             0.14276,                 0.5,             0.31157,             0.14582,              0.0527,            0.023722,            0.026678,            0.048173,           0.0051733,           0.0051733
                  29,            0.059774,            0.036768,            0.024062,             0.19484,                 0.5,             0.34022,             0.13696,             0.06479,            0.021987,            0.027315,            0.046335,           0.0053354,           0.0053354
                  30,            0.061923,            0.036047,            0.028663,             0.19484,                 0.5,             0.34022,             0.13696,             0.06479,            0.021987,            0.027315,            0.044496,           0.0054961,           0.0054961
                  31,            0.065175,            0.037485,             0.02411,             0.23105,             0.44879,             0.24152,            0.087994,            0.056848,            0.023711,            0.027375,            0.042656,           0.0056555,           0.0056555
                  32,            0.068212,            0.026606,            0.024974,             0.22161,                 0.5,             0.24518,            0.097462,            0.056732,            0.023174,            0.027247,            0.040814,           0.0058136,           0.0058136
